Contract ID	Offer ID	Title	Start Date	End Date	Status	Hourly Rate	Fixed Price Amount Agreed	Weekly Limit	Contract type	Milestone Status	Escrow Refund Status
32176976	22537346	I need a professional to help me rewrite the article [Long-term cooperation]	2022-12-05T17:59:47.000Z		Active		5		Fixed Price	Paid By System	
34467351	26025861	Writer Required	2023-08-09T10:03:28.000Z		Active		10		Fixed Price	Paid By System	
35745851	100056819	Paraphrase 1000 words blog post.	2023-12-15T05:02:10.000Z	2023-12-15T09:49:45.000Z	Ended		15		Fixed Price	Paid	
33808159	24865200	Short Journal Critique	2023-06-04T16:31:06.000Z		Active		15		Fixed Price	Paid	
33843479	24922915	Academic Writing Help	2023-06-07T22:25:43.000Z	2023-06-11T20:33:00.000Z	Ended		20		Fixed Price	Paid	
32154024	22507553	Aged care and disability care case study	2022-12-02T13:18:58.000Z	2022-12-06T20:32:15.000Z	Ended		20		Fixed Price	Paid	
33372552	24184039	ageing and disability critique	2023-04-19T09:13:53.000Z	2023-05-02T00:35:20.000Z	Ended		20		Fixed Price	Paid	
32543819	23017543	I need someone to write an essay. 1000w	2023-01-20T18:49:31.000Z	2023-01-20T23:17:51.000Z	Ended		20		Fixed Price	Cancelled By System	
33875849	24977622	literature review on Group problem solving	2023-06-11T17:28:07.000Z		Active		20		Fixed Price	Paid	
34714910	26460684	SCA024 - Chemistry Experts Assessment	2023-09-02T00:00:00.000Z	2023-09-20T21:08:53.000Z	Ended		20		Fixed Price	Paid	
34770189	26554443	Find 5 academic articles that talks about a specific subject and identify an issue in an article	2023-09-08T04:25:05.000Z		Active		25		Fixed Price	Paid By System	
33150400	23851598	PICOT PPE Worksheet	2023-03-25T18:06:08.000Z	2023-03-26T23:57:25.000Z	Ended		25		Fixed Price	Paid	
33268163	24026216	Research worksheet	2023-04-07T17:37:54.000Z		Active		25		Fixed Price	Paid	
33988446	25170611	You will get Scientific Literature Review on Medical Science and Technology	2023-06-22T16:24:02.000Z	2023-06-24T20:15:40.000Z	Ended		25		Fixed Price	Paid	
33327097	24113685	Input data	2023-04-14T04:56:09.000Z		Active		30		Fixed Price	Paid	
33388371	24207151	Liver research	2023-04-20T17:30:26.000Z		Active		30		Fixed Price	Paid By System	
33907383	25030774	Researcher on a renewable energy sources topics	2023-06-14T14:54:59.000Z		Active		30		Fixed Price	Paid	
35748795	100063786	Technical Writers Needed to Review Pre-Hire Assessment	2023-12-15T13:05:48.000Z	2023-12-15T20:02:58.000Z	Ended		30		Fixed Price	Paid	
35083497	27103370	Acdemic writer  for Portfolio needed	2023-10-09T16:31:42.000Z		Active		35		Fixed Price	Paid	
33117187	23804155	Literature writing	2023-03-22T02:22:37.000Z	2023-11-27T06:29:10.000Z	Ended		36		Fixed Price	Paid	
33527382	24417307	Autoimmune Haemolytic Anaemia Poster	2023-05-05T11:49:02.000Z		Active		40		Fixed Price	Paid By System	
33569028	24482922	Case studies aging and disability	2023-05-10T06:29:16.000Z	2023-05-17T23:45:32.000Z	Ended		40		Fixed Price	Paid	
35433959	27643748	Academic writing	2023-11-13T11:43:37.000Z		Active		45		Fixed Price	Paid	
34165995	25471874	ESG proposal	2023-07-11T11:00:32.000Z		Active		50		Fixed Price	Paid By System	
35917776	100298775	LC - Literature Review	2024-01-05T04:51:20.000Z		Active		50		Fixed Price	Active	
33949382	25105574	Qualitative policy analysis and evaluation: DIRECTIVE (EU) 2019 impact of plastic on environment	2023-06-19T09:28:31.000Z		Active		50		Fixed Price	Paid By System	
33367924	24176541	revise text	2023-04-18T19:53:50.000Z		Active		50		Fixed Price	Paid By System	
34008135	25203290	Write a brief article	2023-06-24T20:16:02.000Z		Active		50		Fixed Price	Paid	
33676061	24647626	Assignments	2023-05-21T12:55:26.000Z		Active		60		Fixed Price	Paid By System	
34037180	25255216	Case Study Analysis	2023-06-27T20:45:01.000Z		Active		60		Fixed Price	Paid	
35517521	27770085	Research Report	2023-11-21T16:31:31.000Z	2023-12-13T14:42:02.000Z	Ended		60		Fixed Price	Paid	
35735268	100047571	2000 words essay on qualitative psychological methods	2023-12-14T05:48:25.000Z	2023-12-15T16:49:55.000Z	Ended		70		Fixed Price	Cancelled By System	
35758106	100076142	Accademic support	2023-12-16T14:47:34.000Z	2023-12-18T16:54:50.000Z	Ended		70		Fixed Price	Cancelled By System	
35818806	100162140	table fill in	2023-12-23T08:00:26.000Z		Active		70		Fixed Price	Paid	
35141337	27201876	Edit	2023-10-15T05:33:56.000Z	2023-12-04T11:45:31.000Z	Ended		80		Fixed Price	Paid By System	
33882371	24989424	Review of existing theories / research and writing	2023-06-12T13:16:28.000Z	2023-06-20T09:46:53.000Z	Ended		80		Fixed Price	Paid	
34267696	25656515	Help with paper	2023-07-20T17:20:10.000Z		Active		100		Fixed Price	Paid	
33597810	24526715	Manuscript review	2023-05-12T18:28:19.000Z		Active		100		Fixed Price	Paid	
35014853	26987414	Paper on how the growth in digital has impacted traditional media like newspapers and TV	2023-10-02T20:34:48.000Z		Active		100		Fixed Price	Paid	
33559674	24468484	Research project: Discussion section	2023-05-09T11:02:45.000Z		Active		100		Fixed Price	Paid By System	
33835769	24910157	theoretical foundation and literature review.	2023-06-07T09:13:09.000Z	2023-06-12T13:08:41.000Z	Ended		100		Fixed Price	Paid	
35030195	27004576	Research paper writing	2023-10-04T05:09:27.000Z		Active		120		Fixed Price	Paid	
34133500	25414699	Support for a research paper	2023-07-07T15:56:42.000Z		Active		120		Fixed Price	Paid By System	
34165728	25471249	Work Assistance	2023-07-11T10:26:52.000Z	2023-07-14T10:55:02.000Z	Ended		120		Fixed Price	Paid	
35772032	100096313	Academic paper on happiness	2023-12-18T15:23:56.000Z		Active		150		Fixed Price	Paid	
34937930	26855012	Edit	2023-09-25T11:59:18.000Z		Active		210		Fixed Price	Paid By System	
35010781	26981357	Editing, writing and updating a review paper for q1 journal .	2023-10-02T15:03:03.000Z	2023-10-18T09:51:34.000Z	Ended		250		Fixed Price	Paid	Accepted
34478779	26046285	To improve on DBA thesis and come up with slides for viva voce examination	2023-08-10T09:45:10.000Z		Active		250		Fixed Price	Paid By System	
34339497	25792058	Innovation Grant Writing and Reviewer: Medical Technology	2023-07-27T17:40:44.000Z	2023-10-14T16:56:25.000Z	Ended		300		Fixed Price	Paid By System	
32571913	23053423	Systematic review	2023-01-24T11:08:54.000Z		Active		300		Fixed Price	Paid	
35216179	27309297	sociology paper tutors	2023-10-22T17:44:08.000Z	2023-11-06T16:12:06.000Z	Ended		420		Fixed Price	Cancelled By Client	Accepted
35728581	100043718	Ghost Writer for Book Project of 50000 words or more Required on Indian Education	2023-12-13T15:30:31.000Z		Active		800		Fixed Price	Active	
34781044	26574664	Talent Store: Chemistry Experts - Training AI Models (SCA024)	2023-09-09T00:00:00.000Z		Active		10,000.00		Fixed Price	Paid	
35908749	100289785	Talent Store: Data Set Collection (SCA042)	2024-01-04T00:00:00.000Z		Active		10,000.00		Fixed Price	Active	
35083643	27103885	Condense Research Design Proposal	2023-10-09T16:42:07.000Z		Active	15		5	Hourly		
33978090	25153224	Find major academic studies that show that people think in terms of frameworks	2023-06-21T17:59:59.000Z	2023-06-27T18:42:09.000Z	Ended	15		10	Hourly		
35900645	100278437	History Tutor for US High school student	2024-01-03T16:31:42.000Z		Active	15		40	Hourly		
34626354	26308838	Qualitative Ethnography Research Proposal	2023-08-25T00:00:00.000Z	2023-10-05T15:47:46.000Z	Ended	15		5	Hourly		
32343810	22755396	Requiring information about English style review	2022-12-27T17:22:05.000Z	2023-01-10T11:34:06.000Z	Ended	18		40	Hourly		
33184230	23902574	Requiring information about English style review	2023-03-29T15:40:58.000Z	2023-04-12T14:55:17.000Z	Ended	15		40	Hourly		
33952758	25111341	Scientific references summary	2023-06-19T15:45:02.000Z		Active	16		20	Hourly		
32204714	22572965	Sociology/Psychology Research - Theories of Motivation and Engagement	2022-12-08T11:44:41.000Z	2022-12-11T14:27:09.000Z	Ended	35		5	Hourly		